	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000187955	12887.6910537861	4.35289153369904	0.1955958639667	22.2545172756829	1.01985468382485e-109	2.1951352214646e-105	COL14A1	ENSG00000187955	COL14A1	protein_coding	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	8	120059780	120373573	1
ENSG00000138759	741.414753357876	6.65040567927475	0.318651713255767	20.8704532334862	9.93870134607213e-97	1.06960303886428e-92	FRAS1	ENSG00000138759	FRAS1	protein_coding	Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]	4	78057323	78544269	1
ENSG00000261115	3577.07716868353	-4.0450913045524	0.19884080298615	-20.3433663705038	5.31537085546675e-92	3.81360140976888e-88	TMEM178B	ENSG00000261115	TMEM178B	protein_coding	transmembrane protein 178B [Source:HGNC Symbol;Acc:HGNC:44112]	7	141074064	141480380	1
ENSG00000231290	1108.61082951548	-4.15831796123793	0.231653059773973	-17.9506282597573	4.74505519596936e-72	2.55331420095111e-68	APCDD1L-DT	ENSG00000231290	APCDD1L-DT	lncRNA	APCDD1L divergent transcript [Source:HGNC Symbol;Acc:HGNC:27152]	20	58515379	58619888	1
ENSG00000154678	673.762177952151	5.10870226558172	0.285605467621556	17.8872705348591	1.48191615173019e-71	6.35262737680284e-68	PDE1C	ENSG00000154678	PDE1C	protein_coding	phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]	7	31751179	32299329	-1
ENSG00000154978	108219.995893931	-3.37443647525	0.188754947709341	-17.8773405211407	1.77084948247617e-71	6.35262737680284e-68	VOPP1	ENSG00000154978	VOPP1	protein_coding	VOPP1 WW domain binding protein [Source:HGNC Symbol;Acc:HGNC:34518]	7	55436056	55572988	-1
ENSG00000165949	1214.84662719807	-4.43738166971355	0.248880825630288	-17.8293432548527	4.18305892945828e-71	1.28623086282371e-67	IFI27	ENSG00000165949	IFI27	protein_coding	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	14	94104836	94116698	1
ENSG00000172292	972.573470196395	4.41636320948668	0.248822267326309	17.7490674646694	1.75239731494939e-70	4.71482497587134e-67	CERS6	ENSG00000172292	CERS6	protein_coding	ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]	2	168455862	168775137	1
ENSG00000136869	5292.89882373477	3.72048056846789	0.21099906157384	17.6326877509163	1.3823653847188e-69	3.30600361563194e-66	TLR4	ENSG00000136869	TLR4	protein_coding	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	9	117704175	117724735	1
ENSG00000179403	2286.79121315352	3.99643075591153	0.234280155925454	17.058340857444	3.0304055652416e-65	6.52264493862602e-62	VWA1	ENSG00000179403	VWA1	protein_coding	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	1	1434861	1442882	1
